old_value,new_value
1911,SAC-51181
1912,SAC-51182
1913,SAC-51183
1914,SAC-51184
1915,SAC-51185
1916,SAC-51186
1917,SAC-51187
1919,SAC-51188
1920,SAC-51189
1921,SAC-51190
1922,SAC-51191
1923,SAC-51192
1924,SAC-51193
1926,SAC-51194
1927,SAC-51195
1928,SAC-51196
1929,SAC-51197
1930,SAC-51198
1931,SAC-51199
1932,SAC-51200
1933,SAC-51201
1934,SAC-51202
1936,SAC-51203
1937,SAC-51204
1938,SAC-51205
1939,SAC-51206
1940,SAC-51207
1941,SAC-51208
1944,SAC-51209
1945,SAC-51210
1946,SAC-51211
1947,SAC-51212
1948,SAC-51213
1949,SAC-51214
1950,SAC-51215
1951,SAC-51216
1952,SAC-51217
1953,SAC-51218
1954,SAC-51219
1955,SAC-51220
1956,SAC-51221
1957,SAC-51222
1958,SAC-51223
1959,SAC-51224
1960,SAC-51225
1961,SAC-51226
1962,SAC-51227
1963,SAC-51228
1965,SAC-51229
1966,SAC-51230
1967,SAC-51231
1968,SAC-51232
1969,SAC-51233
1970,SAC-51234
1971,SAC-51235
1972,SAC-51236
1973,SAC-51237
1974,SAC-51238
1975,SAC-51239
1976,SAC-51240
1979,SAC-51241
1980,SAC-51242
1981,SAC-51243
1982,SAC-51244
1983,SAC-51245
1984,SAC-51246
1985,SAC-51247
1986,SAC-51248
1987,SAC-51249
1988,SAC-51250
1989,SAC-51251
1990,SAC-51252
1991,SAC-51253
1992,SAC-51254
1994,SAC-51255
1995,SAC-51256
1996,SAC-51257
1997,SAC-51258
1998,SAC-51259
1999,SAC-51260
2001,SAC-51261
2005,SAC-51262
2006,SAC-51263
2007,SAC-51264
2008,SAC-51265
2009,SAC-51266
2010,SAC-51267
2011,SAC-51268
2017,SAC-51269
2018,SAC-51270
2020,SAC-51271
2023,SAC-51272
2025,SAC-51273
2026,SAC-51274
2029,SAC-51275
2031,SAC-51276
2032,SAC-51277
2033,SAC-51278
2037,SAC-51279
2043,SAC-51280
2044,SAC-51281
2045,SAC-51282
2046,SAC-51283
2047,SAC-51284
2048,SAC-51285
2050,SAC-51286
2052,SAC-51287
2053,SAC-51288
2055,SAC-51289
2056,SAC-51290
2057,SAC-51291
2058,SAC-51292
2059,SAC-51293
2061,SAC-51294
2062,SAC-51295
2063,SAC-51296
2066,SAC-51297
2067,SAC-51298
2070,SAC-51299
2071,SAC-51300
2072,SAC-51301
2073,SAC-51302
2074,SAC-51303
2075,SAC-51304
2076,SAC-51305
2077,SAC-51306
2078,SAC-51307
2084,SAC-51308
2085,SAC-51309
2086,SAC-51310
2088,SAC-51311
2089,SAC-51312
2090,SAC-51313
2094,SAC-51314
2096,SAC-51315
2097,SAC-51316
2099,SAC-51317
2103,SAC-51318
2104,SAC-51319
2105,SAC-51320
2106,SAC-51321
2109,SAC-51322
2110,SAC-51323
2113,SAC-51324
2114,SAC-51325
2115,SAC-51326
2116,SAC-51327
2117,SAC-51328
2118,SAC-51329
2119,SAC-51330
2120,SAC-51331
2121,SAC-51332
2123,SAC-51333
2124,SAC-51334
2125,SAC-51335
2128,SAC-51336
2129,SAC-51337
2130,SAC-51338
2132,SAC-51339
2133,SAC-51340
2137,SAC-51341
2139,SAC-51342
2141,SAC-51343
2144,SAC-51344
2146,SAC-51345
2147,SAC-51346
2149,SAC-51347
2150,SAC-51348
2151,SAC-51349
2152,SAC-51350
2157,SAC-51351
2158,SAC-51352
2159,SAC-51353
2160,SAC-51354
2162,SAC-51355
2164,SAC-51356
2165,SAC-51357
2166,SAC-51358
2167,SAC-51359
2168,SAC-51360
2169,SAC-51361
2170,SAC-51362
2171,SAC-51363
2172,SAC-51364
2176,SAC-51365
2178,SAC-51366
2179,SAC-51367
2180,SAC-51368
2182,SAC-51369
2185,SAC-51370
2187,SAC-51371
2191,SAC-51372
2194,SAC-51373
2196,SAC-51374
2197,SAC-51375
2198,SAC-51376
2199,SAC-51377
2200,SAC-51378
2201,SAC-51379
2203,SAC-51380
2204,SAC-51381
2205,SAC-51382
2206,SAC-51383
2207,SAC-51384
2208,SAC-51385
2209,SAC-51386
2210,SAC-51387
2211,SAC-51388
2212,SAC-51389
2213,SAC-51390
2215,SAC-51391
2216,SAC-51392
2217,SAC-51393
2218,SAC-51394
2219,SAC-51395
2220,SAC-51396
2221,SAC-51397
2222,SAC-51398
2223,SAC-51399
2225,SAC-51400
2226,SAC-51401
2227,SAC-51402
2229,SAC-51403
2230,SAC-51404
2231,SAC-51405
2232,SAC-51406
2233,SAC-51407
2234,SAC-51408
2235,SAC-51409
2236,SAC-51410
2237,SAC-51411
2239,SAC-51412
2243,SAC-51413
2244,SAC-51414
2245,SAC-51415
2246,SAC-51416
2247,SAC-51417
2248,SAC-51418
2249,SAC-51419
2250,SAC-51420
2251,SAC-51421
2252,SAC-51422
2253,SAC-51423
2254,SAC-51424
2255,SAC-51425
2256,SAC-51426
2257,SAC-51427
2258,SAC-51428
2259,SAC-51429
2260,SAC-51430
2261,SAC-51431
2262,SAC-51432
2263,SAC-51433
2264,SAC-51434
2265,SAC-51435
2266,SAC-51436
2267,SAC-51437
2268,SAC-51438
2269,SAC-51439
2270,SAC-51440
2271,SAC-51441
2272,SAC-51442
2273,SAC-51443
2274,SAC-51444
